3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,166,high-performer,49,165375,49,49,11,3375,3375,15034
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,166,high-performer,45,151875,45,45,11,3375,3375,13806
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,166,high-performer,60,202500,60,60,11,3375,3375,18409
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,166,high-performer,57,192375,57,57,12,3375,3375,16031
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,166,high-performer,58,197200,58,58,12,3400,3400,16433
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,166,high-performer,42,142800,42,42,11,3400,3400,12981
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,166,high-performer,49,166600,49,49,12,3400,3400,13883
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,166,high-performer,36,122400,36,36,11,3400,3400,11127
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,166,high-performer,281,1005418,281,281,12,3578,3578,83784
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,166,high-performer,337,1205786,337,337,12,3578,3578,100482
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,166,high-performer,302,1080556,302,302,12,3578,3578,90046
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,166,high-performer,295,1055510,295,295,12,3578,3578,87959
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,166,high-performer,336,1202208,336,336,12,3578,3578,100184
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,154,mid-range,63,47565,63,63,23,755,755,2068
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,154,mid-range,60,45552,60,60,21,759.2,759,2169
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,154,high-performer,89,66915,89,89,23,751.9,751,2909
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,154,high-performer,76,57996,76,76,23,763.1,763,2521
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,154,high-performer,76,57156,76,76,22,752.1,752,2598
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,154,mid-range,65,49047,65,65,24,754.6,754,2043
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,154,high-performer,72,54528,72,72,23,757.3,757,2370
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,154,high-performer,88,66720,88,88,23,758.2,758,2900
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,154,mid-range,61,46083,61,61,24,755.5,755,1920
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,154,high-performer,74,56346,74,74,22,761.4,761,2561
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,154,mid-range,53,40071,53,53,23,756.1,756,1742
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,154,high-performer,75,57381,75,75,23,765.1,765,2494
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,154,high-performer,144,351792,144,144,12,2443,2443,29316
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,154,high-performer,162,395766,162,162,12,2443,2443,32980
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,154,high-performer,133,324919,133,133,12,2443,2443,27076
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,141,mid-range,2025,20340,2034,2004,13,10,10,1564
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,141,mid-range,1711,15399,1711,1699,13,9,9,1184
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,142,mid-range,48,25920,48,48,12,540,540,2160
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,142,mid-range,49,26460,49,49,11,540,540,2405
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,142,mid-range,58,31320,58,58,11,540,540,2847
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,142,mid-range,56,30240,56,56,11,540,540,2749
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,142,mid-range,41,22140,41,41,11,540,540,2012
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,142,mid-range,45,25425,45,45,11,565,565,2311
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,142,mid-range,45,25425,45,45,11,565,565,2311
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,142,mid-range,39,22035,39,39,12,565,565,1836
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,142,mid-range,50,28250,50,50,11,565,565,2568
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,142,mid-range,48,27120,48,48,11,565,565,2465
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,142,high-performer,148,113812,148,148,11,769,769,10346
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,142,high-performer,128,98432,128,128,12,769,769,8202
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,142,high-performer,129,99201,129,129,11,769,769,9018
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,142,high-performer,138,106122,138,138,11,769,769,9647
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,142,high-performer,581,1292559,581,564,24,2224.7,2224,53856
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,2013-12-28,142,high-performer,614,1363128,614,604,23,2220.1,2220,59266
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,2013-12-27,142,high-performer,620,1373454,620,600,24,2215.2,2215,57227
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,142,high-performer,596,1339394,596,583,23,2247.3,2247,58234
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,142,high-performer,560,1257368,560,547,24,2245.3,2245,52390
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,142,high-performer,579,1298709,579,566,23,2243,2243,56465
126,Road-750 Black- 44,Bikes,Road Bikes,344,2013-12-28,142,high-performer,360,194400,360,360,12,540,540,16200
127,Road-750 Black- 48,Bikes,Road Bikes,344,2013-12-28,142,high-performer,363,196020,363,363,12,540,540,16335
128,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,142,high-performer,386,208440,386,386,12,540,540,17370
129,Road-750 Black- 58,Bikes,Road Bikes,344,2013-12-28,142,high-performer,334,180360,334,334,12,540,540,15030
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,2013-12-26,142,high-performer,270,293760,270,267,24,1088,1088,12240
